ProductID,ProductName,CategoryName,ProductDescription,ProductStandardCost,ProductListPrice,Profit,Unit,MinStockLevel
P001,Intel Xeon E5-2699 V3 (OEM/Tray),CPU,"Speed:2.3GHz,Cores:18,TDP:145W",2867.51,3410.46,542.95,Cai,14
P002,Intel Xeon E5-2697 V3,CPU,"Speed:2.6GHz,Cores:14",2326.27,2774.98,448.71,Cai,8
P003,Intel Xeon E5-2698 V3 (OEM/Tray),CPU,Speed:2.3GHz,2035.18,2660.72,625.54,Cai,19
P004,Intel Xeon E5-2697 V4,CPU,"Cores:18,TDP:145W",2144.4,2554.99,410.59,Cai,9
P005,Intel Xeon E5-2685 V3 (OEM/Tray),CPU,"Speed:2.6GHz,Cores:12",2012.11,2501.69,489.58,Cai,6
P006,Intel Xeon E5-2695 V3 (OEM/Tray),CPU,"Speed:2.3GHz,Cores:14",1925.13,2431.95,506.82,Cai,17
P007,Intel Xeon E5-2697 V2,CPU,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,2377.09,275.5,Cai,11
P008,Intel Xeon E5-2695 V4,CPU,"Speed:2.1GHz,Cores:18,TDP:120W",1780.35,2269.99,489.64,Cai,19
P009,Intel Xeon E5-2695 V2,CPU,"Speed:2.4GHz,Cores:12,TDP:115W",1793.53,2259.99,466.46,Cai,7
P010,Intel Xeon E5-2643 V2 (OEM/Tray),CPU,"Speed:3.5GHz,Cores:6",1940.18,2200,259.82,Cai,5
P011,Intel Xeon E5-2690 (OEM/Tray),CPU,"Speed:2.9GHz,Cores:8",1888.33,2116.72,228.39,Cai,14
P012,Intel Xeon E5-2687W V3,CPU,"Speed:3.1GHz,Cores:10,TDP:160W",1781.47,2064.99,283.52,Cai,6
P013,Intel Xeon E5-2687W V4,CPU,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,2042.69,318.86,Cai,6
P014,Intel Xeon E5-2667 V3 (OEM/Tray),CPU,"Speed:3.2GHz,Cores:8,TDP:135W",1504.08,2009.46,505.38,Cai,16
P015,Intel Xeon E5-2690 V4,CPU,"Speed:2.6GHz,Cores:14,TDP:135W",1499.26,1994.49,495.23,Cai,14
P016,Intel Xeon E5-2690 V3,CPU,"Speed:2.6GHz,Cores:12,TDP:135W",1540.35,1908.73,368.38,Cai,16
P017,Intel Xeon E5-2470V2,CPU,"Speed:2.4GHz,Cores:10,TDP:95W",1671.95,1904.7,232.75,Cai,8
P018,Intel Xeon E5-2683 V4,CPU,"Speed:2.1GHz,Cores:16,TDP:120W",1706.95,1899.99,193.04,Cai,11
P019,Intel Xeon E5-2637 V2 (OEM/Tray),CPU,"Speed:3.5GHz,Cores:4,TDP:130W",1323.12,1850,526.88,Cai,16
P020,Intel Xeon E5-2683 V4 (OEM/Tray),CPU,"Speed:2.1GHz,Cores:16,TDP:120W",1369.83,1844.89,475.06,Cai,17
P021,Intel Core i7-4960X Extreme Edition,CPU,"Speed:3.6GHz,Cores:6,TDP:130W",1496.43,1805.97,309.54,Cai,12
P022,Intel Xeon E5-2699 V4 (OEM/Tray),CPU,"Speed:2.2GHz,Cores:22,TDP:145W",1535.62,1756,220.38,Cai,17
P023,Intel Xeon E5-1680 V3 (OEM/Tray),CPU,"Speed:3.2GHz,Cores:8,TDP:140W",1519.85,1751.99,232.14,Cai,19
P024,Intel Xeon E5-2643 V4 (OEM/Tray),CPU,"Speed:3.4GHz,Cores:6,TDP:135W",1225.59,1708.86,483.27,Cai,14
P025,Intel Core i7-6950X (OEM/Tray),CPU,"Speed:3.0GHz,Cores:10,TDP:140W",1479.56,1704.37,224.81,Cai,9
P026,Intel Xeon E5-2670 V3,CPU,"Speed:2.3GHz,Cores:12,TDP:120W",1453.94,1676.98,223.04,Cai,19
P027,Intel Xeon E5-2680,CPU,"Speed:2.7GHz,Cores:8,TDP:130W",1479.95,1666.61,186.66,Cai,18
P028,Intel Xeon E5-2680 V4,CPU,"Speed:2.4GHz,Cores:14,TDP:120W",1365.13,1639.99,274.86,Cai,17
P029,Intel Xeon E5-2680 V3 (OEM/Tray),CPU,"Speed:2.5GHz,Cores:12,TDP:120W",1166.89,1638.89,472,Cai,11
P030,Intel Core i7-6950X,CPU,"Speed:3.0GHz,Cores:10,TDP:140W",1052.92,1499.89,446.97,Cai,12
P031,Intel Xeon E5-2643 V3 (OEM/Tray),CPU,"Speed:3.4GHz,Cores:6,TDP:135W",1266.37,1469.96,203.59,Cai,12
P032,Intel Xeon E5-2660 V4,CPU,"Speed:2.0GHz,Cores:14,TDP:105W",1194.03,1388.89,194.86,Cai,19
P033,Intel Xeon E5-2660 V3,CPU,"Speed:2.6GHz,Cores:10,TDP:105W",1041.99,1299.73,257.74,Cai,8
P034,Intel Xeon E5-2660 V3 (OEM/Tray),CPU,"Speed:2.6GHz,Cores:10",902.18,1274.99,372.81,Cai,7
P035,Intel Xeon E5-2650 V2,CPU,"Speed:2.6GHz,Cores:8",961.11,1249,287.89,Cai,18
P036,Intel Xeon E5-2650 V3,CPU,"Speed:2.3GHz,Cores:10",906.63,1204.98,298.35,Cai,13
P037,Intel Core i7-990X Extreme Edition,CPU,"Speed:3.47GHz,Cores:6",1072.79,1199.99,127.2,Cai,8
P038,Intel Xeon E5-2650 V4,CPU,"Speed:2.2GHz,Cores:12",945.11,1099.99,154.88,Cai,16
P039,Intel Xeon E5-2650,CPU,"Speed:2.0GHz,Cores:8",869.03,1064.99,195.96,Cai,16
P040,Intel Core i9-7900X,CPU,"Speed:3.3GHz,Cores:10",855.82,1029.99,174.17,Cai,11
P041,Intel Xeon E5-1660 V3 (OEM/Tray),CPU,"Speed:3.0GHz,Cores:8",914.52,1019.99,105.47,Cai,20
P042,Intel Xeon E5-2650L V3 (OEM/Tray),CPU,"Speed:1.8GHz,Cores:12",779.17,1010.46,231.29,Cai,8
P043,Intel Core i7-5960X,CPU,"Speed:3.0GHz,Cores:8",865.59,1009.79,144.2,Cai,15
P044,Intel Core 2 Extreme QX6800,CPU,"Speed:2.93GHz,Cores:4,TDP:100W",787.72,1003.98,216.26,Cai,18
P045,Intel Core i7-5960X (OEM/Tray),CPU,"Speed:3.0GHz,Cores:8,TDP:140W",879.8,977.99,98.19,Cai,14
P046,Intel Xeon E5-2650 V3 (OEM/Tray),CPU,"Speed:2.3GHz,Cores:10,TDP:105W",799.98,939.49,139.51,Cai,13
P047,Intel Xeon E5-2640 V4,CPU,"Speed:2.4GHz,Cores:10",738.71,899.99,161.28,Cai,10
P048,Intel Xeon E5-2640 V3,CPU,"Speed:2.6GHz,Cores:8",668.24,899.99,231.75,Cai,20
P049,Intel Core 2 Extreme QX9775,CPU,Speed:3.2GHz,737.68,892,154.32,Cai,18
P050,Intel Core i7-6900K,CPU,"Speed:3.2GHz,Cores:8",792.89,889.89,97,Cai,9
P051,Intel Core i7-6900K (OEM/Tray),CPU,"Speed:3.2GHz,Cores:8",620.28,827.37,207.09,Cai,16
P052,AMD Opteron 6378,CPU,"Speed:2.4GHz,Cores:16",651.92,826.99,175.07,Cai,17
P053,Intel Core i7-3960X Extreme Edition,CPU,Speed:3.3GHz,573.41,800.74,227.33,Cai,11
P054,Intel Core i7-4770K,CPU,"Speed:3.5GHz,Cores:4",714.15,799,84.85,Cai,10
P055,Intel Xeon E5-2687W,CPU,"Speed:3.1GHz,Cores:8",581.16,710.99,129.83,Cai,10
P056,Intel Xeon E5-2680 V2,CPU,"Speed:2.8GHz,Cores:10",567.81,701.95,134.14,Cai,16
P057,Intel Core i7-980,CPU,"Speed:3.33GHz,Cores:6",563.7,699.99,136.29,Cai,8
P058,Intel Core i7-7820X,CPU,"Speed:3.6GHz,Cores:8",511.1,678.75,167.65,Cai,18
P059,Intel Core i7-3930K,CPU,"Speed:3.2GHz,Cores:6",509.32,660,150.68,Cai,14
P060,Intel Xeon E5-2630 V4,CPU,"Speed:2.2GHz,Cores:10",528.95,647.99,119.04,Cai,15
P061,Intel Xeon E5-2630 V3,CPU,"Speed:2.4GHz,Cores:8",499.96,629.99,130.03,Cai,17
P062,Intel Core i7-4930K,CPU,"Speed:2.4GHz,Cores:8",527.69,624.04,96.35,Cai,16
P063,Intel Core i7-4790K,CPU,"Speed:3.4GHz,Cores:6",461.92,620.95,159.03,Cai,19
P064,Intel Xeon E5-2640 V2,CPU,"Speed:2.0GHz,Cores:8",545.19,608.95,63.76,Cai,7
P065,Intel Xeon E5-1650 V4,CPU,"Speed:3.6GHz,Cores:6",535.47,601.99,66.52,Cai,5
P066,Intel Xeon E5-1650 V4 (OEM/Tray),CPU,"Speed:3.6GHz,Cores:6",453.14,594.99,141.85,Cai,15
P067,Intel Xeon E5-2630 V3 (OEM/Tray),CPU,"Speed:2.4GHz,Cores:8",421.9,589.99,168.09,Cai,5
P068,Intel Xeon E5-2630 V2,CPU,"Cores:6,TDP:80W",493.48,588.95,95.47,Cai,19
P069,Intel Xeon E5-1650 V3,CPU,"Cores:6,TDP:140W",399.77,564.89,165.12,Cai,5
P070,Intel Core i7-5930,CPU,"Cores:6,TDP:140W",481.56,554.99,73.43,Cai,13
P071,PNY VCQP6000-PB,Video Card,Memory:24GBCore Clock:1.42GHz,4058.99,5499.99,1441,Cai,11
P072,PNY VCQM6000-24GB-PB,Video Card,Chipset:Quadro M6000,3619.14,4139,519.86,Cai,18
P073,PNY VCQM6000-PB,Video Card,Chipset:Quadro M6000,2505.04,3254.99,749.95,Cai,7
P074,ATI FirePro W9000,Video Card,Chipset:FirePro W9000,2785.55,3192.97,407.42,Cai,14
P075,ATI FirePro S9150,Video Card,Chipset:FirePro S9150,2628.06,3177.44,549.38,Cai,7
P076,AMD FirePro W9100,Video Card,Chipset:FirePro W9100,2483.38,2998.89,515.51,Cai,11
P077,EVGA 12G-P4-3992-KR,Video Card,Chipset:GeForce GTX Titan Z,2313.07,2799.99,486.92,Cai,19
P078,AMD 100-505989,Video Card,Chipset:FirePro W9100,2128.67,2699.99,571.32,Cai,18
P079,PNY VCQK6000-PB,Video Card,Chipset:Quadro K6000,1740.31,2290.79,550.48,Cai,14
P080,PNY VCQP5000-PB,Video Card,Chipset:Quadro P5000,1602.21,2015.11,412.9,Cai,17
P081,HP C2J95AT,Video Card,Chipset:Quadro K5000,1715.91,1999.89,283.98,Cai,18
P082,EVGA 12G-P4-1999-KR,Video Card,Chipset:GeForce GTX Titan X,1328.03,1799.99,471.96,Cai,20
P083,PNY VCQM5000-PB,Video Card,Chipset:Quadro M5000,1268.42,1759.99,491.57,Cai,9
P084,ATI FirePro S9050,Video Card,Chipset:FirePro S9050,1237.04,1699,461.96,Cai,7
P085,AMD 100-5056062,Video Card,Chipset:Vega Frontier Edition Liquid,1343.84,1499.99,156.15,Cai,9
P086,PNY VCQK5200-PB,Video Card,Chipset:Quadro K5200,1129.39,1449.98,320.59,Cai,5
P087,AMD FirePro S7000,Video Card,Chipset:FirePro S7000,936.42,1218.5,282.08,Cai,11
P088,AMD 100-506061,Video Card,Chipset:Vega Frontier Edition Liquid,706.99,999.99,293,Cai,5
P089,ATI FirePro R5000,Video Card,Chipset:FirePro R5000,760.59,999.99,239.4,Cai,16
P090,PNY VCQK4200-PB,Video Card,Chipset:Quadro K4200,799.05,949.89,150.84,Cai,9
P091,Asus GTX780TI-3GD5,Video Card,Chipset:GeForce GTX 780 Ti,781.91,899.99,118.08,Cai,5
P092,MSI GTX 1080 TI LIGHTNING Z,Video Card,Chipset:GeForce GTX 1080 Ti,688.35,873.98,185.63,Cai,12
P093,Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING,Video Card,Chipset:GeForce GTX 1080 Ti,696.14,864.98,168.84,Cai,7
P094,MSI GTX 1080 TI LIGHTNING X,Video Card,Chipset:GeForce GTX 1080 Ti,742.94,863.98,121.04,Cai,16
P095,Zotac ZT-P10810A-10P,Video Card,Chipset:GeForce GTX 1080 Ti,702.35,849.99,147.64,Cai,6
P096,MSI GAMING,Video Card,Chipset:GeForce GTX 780 Ti,753.18,849.99,96.81,Cai,7
P097,Asus STRIX-GTX1080TI-O11G-GAMING,Video Card,Chipset:GeForce GTX 1080 Ti,691.13,829.99,138.86,Cai,11
P098,PNY VCQP4000-PB,Video Card,Chipset:Quadro P4000,725,829.89,105,Cai,7
P099,Gigabyte GV-N108TAORUSX W-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,596.05,824.98,228.93,Cai,6
P100,Zotac ZT-70203-10P,Video Card,Chipset:GeForce GTX 780,580.42,820.61,240.19,Cai,18
P101,EVGA 11G-P4-6598-KR,Video Card,Chipset:GeForce GTX 1080 Ti,663.54,809.99,146.45,Cai,6
P102,MSI GTX 1080 TI SEA HAWK X,Video Card,Chipset:GeForce GTX 1080 Ti,691.32,804.98,113.66,Cai,16
P103,Corsair CB-9060011-WW,Video Card,Chipset:GeForce GTX 1080 Ti,573.51,799.99,226.48,Cai,20
P104,MSI GTX 1080 TI AERO 11G OC,Video Card,Chipset:GeForce GTX 1080 Ti,715.72,798.26,82.54,Cai,15
P105,NVIDIA VCQM4000-PB,Video Card,Chipset:Quadro M4000,682.09,790,107.91,Cai,5
P106,Gigabyte GV-N108TAORUS X-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,688.35,784.98,96.63,Cai,15
P107,Gigabyte GV-N1070WF2OC-8GD,Video Card,Chipset:GeForce GTX 1070,551.62,769.99,218.37,Cai,14
P108,MSI GeForce GTX 1080 TI ARMOR 11G OC,Video Card,Chipset:GeForce GTX 1080 Ti,644.19,764.98,120.79,Cai,7
P109,EVGA 11G-P4-6696-KR,Video Card,Chipset:GeForce GTX 1080 Ti,594.46,759.99,165.53,Cai,14
P110,MSI GeForce GTX 1080 Ti GAMING X 11G,Video Card,Chipset:GeForce GTX 1080 Ti,666.59,759.99,93.4,Cai,7
P111,Zotac ZT-P10810C-10P,Video Card,Chipset:GeForce GTX 1080 Ti,535.03,759.99,224.96,Cai,18
P112,Zotac ZT-P10810D-10P,Video Card,Chipset:GeForce GTX 1080 Ti,580.1,759.99,179.89,Cai,14
P113,PNY VCGGTX1080T11XGPB-OC,Video Card,Chipset:GeForce GTX 1080 Ti,600.92,759.99,159.07,Cai,17
P114,Zotac ZT-P10810G-10P,Video Card,Chipset:GeForce GTX 1080 Ti,598.25,754.98,156.73,Cai,5
P115,Gigabyte GV-N98TWF3OC-6GD,Video Card,Chipset:GeForce GTX 980 Ti,633.29,749.99,116.7,Cai,19
P116,PNY VCGGTX780T3XPB-OC,Video Card,Chipset:GeForce GTX 780 Ti,592.12,749.99,157.87,Cai,10
P117,MSI GTX 980 Ti Gaming 6G,Video Card,Chipset:GeForce GTX 980 Ti,539.98,745.32,205.34,Cai,14
P118,Gigabyte GV-N108TAORUS-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,605.3,744.98,139.68,Cai,10
P119,EVGA 06G-P4-4998-KR,Video Card,Chipset:GeForce GTX 980 Ti,521.03,741.78,220.75,Cai,14
P120,MSI GTX 1080 Ti DUKE 11G OC,Video Card,Memory:11GBCore Clock:1.53GHz,555.07,739.99,184.92,Cai,5
P121,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",1139.23,1620.99,481.76,Cai,7
P122,G.Skill TridentZ RGB,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1330.26,1504.99,174.73,Cai,15
P123,Corsair Dominator Platinum,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",1051.97,1449.99,398.02,Cai,14
P124,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1163.49,1431.99,268.5,Cai,17
P125,G.Skill Trident Z RGB,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",1174.36,1418.99,244.63,Cai,8
P126,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1139.87,1318.99,179.12,Cai,20
P127,Corsair Dominator Platinum,Storage,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1131.68,1314.99,183.31,Cai,12
P128,Corsair Vengeance LPX,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",912.98,1299.99,387.01,Cai,11
P129,Corsair Dominator Platinum,Storage,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1068.66,1264.99,196.33,Cai,20
P130,Corsair Vengeance LPX,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1019.51,1199.99,180.48,Cai,9
P131,Corsair Dominator Platinum,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1002.47,1199.99,197.52,Cai,11
P132,Corsair Vengeance LPX,Storage,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",867.52,1163.99,296.47,Cai,19
P133,Corsair Vengeance LPX,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",821.91,1099.99,278.08,Cai,18
P134,G.Skill Ripjaws 4 Series,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",836.03,1055.99,219.96,Cai,17
P135,Kingston HyperX Beast,Storage,"Speed:DDR3-1866,Type:240-pin DIMM,CAS:10Module:8x8GBSize:64GB",708.91,863.05,154.14,Cai,19
P136,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:2x16GBSize:32GB",580.33,811.99,231.66,Cai,11
P137,Corsair Vengeance Pro,Storage,"Speed:DDR3-2133,Type:240-pin DIMM,CAS:11Module:8x8GBSize:64GB",596.25,808.92,212.67,Cai,8
P138,Corsair Dominator Platinum,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",700.5,804.99,104.49,Cai,20
P139,G.Skill Trident Z RGB,Storage,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",622.47,799.99,177.52,Cai,12
P140,Crucial,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:17Module:1x64GBSize:64GB",604.04,799,194.96,Cai,14
P141,G.Skill Trident Z,Storage,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",594.04,768.99,174.95,Cai,6
P142,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",590.13,766.11,175.98,Cai,20
P143,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",647.83,760.99,113.16,Cai,14
P144,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",556.8,758.99,202.19,Cai,20
P145,Corsair Dominator Platinum,Storage,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",609.89,749.99,140.1,Cai,6
P146,Kingston,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",650.48,741.63,91.15,Cai,18
P147,Corsair Vengeance LPX,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",609.53,734.99,125.46,Cai,6
P148,G.Skill Trident Z,Storage,"Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",565.39,731.99,166.6,Cai,19
P149,G.Skill Trident Z,Storage,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",601.56,725.99,124.43,Cai,18
